"word","spelling","IPA_correct","Notes_1","Notes_2","Notes_3","Notes_4"
"desanimado","['dɨ.zɐ.ni.ˈma.du']",,,,,"No error"
"extenuado","['ɐjʃ.tɨ.ˈnwa.du']",,,,,"No error"
"delinear",,"['dɨ.li.ˈni.aɾ']","false diphthong",,,"Error"
"enegrecer","['i.nɨ.ɡɾɨ.ˈseɾ']",,,,,"No error"
"indagar","['ĩ.dɐ.ˈɡaɾ']",,,,,"No error"
"vestígio","['vɨʃ.ˈti.ʒju']",,,,,"No error"
"intimidade","['ĩ.ti.mi.ˈda.dɨ']",,,,,"No error"
"favor","['fɐ.ˈvoɾ']",,,,,"No error"
"lezíria","['lɨ.ˈzi.ɾjɐ']",,,,,"No error"
"espelunca","['iʃ.pɨ.ˈlũ.kɐ']",,,,,"No error"
"tez","['ˈteʃ']",,,,,"No error"
"texugo","['tɨ.ˈʃu.ɡu']",,,,,"No error"
"recrear",,"['Rɨ.ˈkɾi.aɾ']","false diphthong",,,"Error"
"remuneração","['Rɨ.mu.nɨ.ɾɐ.ˈsɐ̃w̃']",,,,,"No error"
"indício","['ĩ.ˈdi.sju']",,,,,"No error"
"esboçar","['iʒ.bu.ˈsaɾ']",,,,,"No error"
"esgotado","['iʒ.ɡu.ˈta.du']",,,,,"No error"
"estafado","['iʃ.tɐ.ˈfa.du']",,,,,"No error"
"extenuar","['ɐjʃ.tɨ.ˈnwaɾ']",,,,,"No error"
"magreza","['mɐ.ˈɡɾe.zɐ']",,,,,"No error"
"debilidade","['dɨ.bɨ.li.ˈda.dɨ']",,,,,"No error"
"extremamente","['ɐjʃ.tɾe.mɐ.ˈmẽ.tɨ']",,,,,"No error"
"esgotar","['iʒ.ɡu.ˈtaɾ']",,,,,"No error"
"consumir","['kõ.su.ˈmiɾ']",,,,,"No error"
"bode","['ˈbɔ.dɨ']",,,,,"No error"
"disparar","['diʃ.pɐ.ˈɾaɾ']",,,,,"No error"
"abatido","['ɐ.bɐ.ˈti.du']",,,,,"No error"
"pegada","['pɛ.ˈɡa.dɐ']",,,,,"No error"
"remunerar","['Rɨ.mu.nɨ.ˈɾaɾ']",,,,,"No error"
"compensação","['kõ.pẽ.sɐ.ˈsɐ̃w̃']",,,,,"No error"
"atributo","['ɐ.tɾi.ˈbu.tu']",,,,,"No error"
"acender","['ɐ.sẽ.ˈdeɾ']",,,,,"No error"
"reservatório","['Rɨ.zɨɾ.vɐ.ˈtɔ.ɾju']",,,,,"No error"
"detrás","['dɨ.ˈtɾaʃ']",,,,,"No error"
"alvura","['aɫ.ˈvu.ɾɐ']",,,,,"No error"
"brilho","['ˈbɾi.ʎu']",,,,,"No error"
"esplendor","['iʃ.plẽ.ˈdoɾ']",,,,,"No error"
"desarranjo","['dɨ.zɐ.ˈRɐ̃.ʒu']",,,,,"No error"
"contrariedade","['kõ.tɾɐ.ɾjɛ.ˈda.dɨ']",,,,,"No error"
"adulterar","['ɐ.duɫ.tɨ.ˈɾaɾ']",,,,,"No error"
"beira","['ˈbɐj.ɾɐ']",,,,,"No error"
"orla","['ˈɔɾ.lɐ']",,,,,"No error"
"demasiado",,"['dɨ.mɐ.ˈzi.a.du']","false diphthong",,,"Error"
"extravasar","['ɐjʃ.tɾɐ.vɐ.ˈzaɾ']",,,,,"No error"
"impedimento","['ĩ.pɨ.di.ˈmẽ.tu']",,,,,"No error"
"contrapor","['kõ.tɾɐ.ˈpoɾ']",,,,,"No error"
"inclinado","['ĩ.kli.ˈna.du']",,,,,"No error"
"prejudicial",,"['pɾɨ.ʒu.di.ˈsi.aɫ']","false diphthong",,,"Error"
"variante","['vɐ.ˈɾjɐ̃.tɨ']",,,,,"No error"
"perigoso","['pɨ.ɾi.ˈɡo.zu']",,,,,"No error"
"vicioso","['vi.ˈsjo.zu']",,,,,"No error"
"desprender","['dɨʃ.pɾẽ.ˈdeɾ']",,,,,"No error"
"desapego","['dɨ.zɐ.ˈpe.ɡu']",,,,,"No error"
"volátil","['vu.ˈla.tiɫ']",,,,,"No error"
"expandir","['ɐjʃ.pɐ̃.ˈdiɾ']",,,,,"No error"
"marquise","['maɾ.ˈki.zɨ']",,,,,"No error"
"ideal",,"['i.ˈdi.aɫ']","false diphthong",,,"Error"
"desfalque","['dɨʃ.ˈfaɫ.kɨ']",,,,,"No error"
"enigma","['i.ˈniɡ.mɐ']",,,,,"No error"
"reputação","['Rɨ.pu.tɐ.ˈsɐ̃w̃']",,,,,"No error"
"estimar","['iʃ.ti.ˈmaɾ']",,,,,"No error"
"avaliar",,"['ɐ.vɐ.ˈli.aɾ']","false diphthong",,,"Error"
"abcesso","['ɐb.ˈsɛ.su']",,,,,"No error"
"limitado","['li.mi.ˈta.du']",,,,,"No error"
"localizar","['lu.kɐ.li.ˈzaɾ']",,,,,"No error"
"vegetação","['vɨ.ʒɨ.tɐ.ˈsɐ̃w̃']",,,,,"No error"
"volúvel","['vu.ˈlu.vɛɫ']",,,,,"No error"
"desinteresse","['dɨ.zĩ.tɨ.ˈɾe.sɨ']",,,,,"No error"
"desatar","['dɨ.zɐ.ˈtaɾ']",,,,,"No error"
"nocivo","['nu.ˈsi.vu']",,,,,"No error"
"arriscado","['ɐ.Riʃ.ˈka.du']",,,,,"No error"
"contrariar",,"['kõ.tɾɐ.ˈɾi.aɾ']","false diphthong",,,"Error"
"excedente","['ɐjʃ.sɨ.ˈdẽ.tɨ']",,,,,"No error"
"supérfluo","['su.ˈpɛɾ.flwu']",,,,,"No error"
"cercadura","['sɨɾ.kɐ.ˈdu.ɾɐ']",,,,,"No error"
"proximidade","['pɾɔ.si.mi.ˈda.dɨ']",,,,,"No error"
"falsificar","['faɫ.sɨ.fi.ˈkaɾ']",,,,,"No error"
"adultério",,"[ɐ.duɫ.tˈɛ.ɾi.u]","empty",,,"Error"
"desarranjar","['dɨ.zɐ.Rɐ̃.ˈʒaɾ']",,,,,"No error"
"desalinho","['dɨ.zɐ.ˈli.ɲu']",,,,,"No error"
"brancura","['bɾɐ̃.ˈku.ɾɐ']",,,,,"No error"
"posterior","['puʃ.tɨ.ˈɾjoɾ']",,,,,"No error"
"reservar","['Rɨ.zɨɾ.ˈvaɾ']",,,,,"No error"
"proporcionado","['pɾu.puɾ.sju.ˈna.du']",,,,,"No error"
"igualdade","['i.ɡwaɫ.ˈda.dɨ']",,,,,"No error"
"gratificar","['ɡɾɐ.ti.fi.ˈkaɾ']",,,,,"No error"
"calcadela","['kaɫ.kɐ.ˈdɛ.lɐ']",,,,,"No error"
"pisadura","['pi.zɐ.ˈdu.ɾɐ']",,,,,"No error"
"falho","['ˈfa.ʎu']",,,,,"No error"
"ininterrupto","['i.nĩ.tɨ.ˈRup.tu']",,,,,"No error"
"aposto","['ɐ.ˈpoʃ.tu']",,,,,"No error"
"matraca","['mɐ.ˈtɾa.kɐ']",,,,,"No error"
"apupar","['ɐ.pu.ˈpaɾ']",,,,,"No error"
"amotinar","['ɐ.mu.ti.ˈnaɾ']",,,,,"No error"
"arremessar","['ɐ.Rɨ.mɨ.ˈsaɾ']",,,,,"No error"
"bala","['ˈba.lɐ']",,,,,"No error"
"arrojar","['ɐ.Ru.ˈʒaɾ']",,,,,"No error"
"soltar","['soɫ.ˈtaɾ']",,,,,"No error"
"ventilador","['vẽ.ti.lɐ.ˈdoɾ']",,,,,"No error"
"turbo","['ˈtuɾ.bu']",,,,,"No error"
"descarga","['dɨʃ.ˈkaɾ.ɡɐ']",,,,,"No error"
"obus","['ɔ.ˈbuʃ']",,,,,"No error"
"morteiro","['muɾ.ˈtɐj.ɾu']",,,,,"No error"
"explosivo","['ɐjʃ.plu.ˈzi.vu']",,,,,"No error"
"tiro","['ˈti.ɾu']",,,,,"No error"
"evacuação","['i.vɐ.kwɐ.ˈsɐ̃w̃']",,,,,"No error"
"libertar","['ˌli.βɨɾ.ˈtaɾ']",,,,,"No error"
"desembaraçar","['dɨ.zẽ.bɐ.ɾɐ.ˈsaɾ']",,,,,"No error"
"arrastar","['ɐ.Rɐʃ.ˈtaɾ']",,,,,"No error"
"expulsar","['ɐjʃ.puɫ.ˈsaɾ']",,,,,"No error"
"sublevar","['su.blɨ.ˈvaɾ']",,,,,"No error"
"escarnecer","['iʃ.kɐɾ.nɨ.ˈseɾ']",,,,,"No error"
"alinhado","['ɐ.li.ˈɲa.du']",,,,,"No error"
"sucessivo","['su.sɨ.ˈsi.vu']",,,,,"No error"
"destruído","['dɨʃ.tɾu.ˈi.du']",,,,,"No error"
"gratificação","['ɡɾɐ.ti.fi.kɐ.ˈsɐ̃w̃']",,,,,"No error"
"uniformidade","['u.ni.fuɾ.mi.ˈda.dɨ']",,,,,"No error"
"conformado","['kõ.fuɾ.ˈma.du']",,,,,"No error"
"harmonioso","['ɐɾ.mu.ˈnjo.zu']",,,,,"No error"
"conservar","['kõ.sɨɾ.ˈvaɾ']",,,,,"No error"
"situado","['si.ˈtwa.du']",,,,,"No error"
"descuido","['dɨʃ.ˈkuj.du']",,,,,"No error"
"alinho","['ɐ.ˈli.ɲu']",,,,,"No error"
"desconjuntar","['dɨʃ.kõ.ʒũ.ˈtaɾ']",,,,,"No error"
"conjugal","['kõ.ʒu.ˈɡaɫ']",,,,,"No error"
"fraude","['ˈfɾaw.dɨ']",,,,,"No error"
"contiguidade","['kõ.ti.ɡwi.ˈda.dɨ']",,,,,"No error"
"guarnição","['ɡwɐɾ.ni.ˈsɐ̃w̃']",,,,,"No error"
"bainha","['bɐ.ˈi.ɲɐ']",,,,,"No error"
"desnecessário","['dɨʒ.nɨ.sɨ.ˈsa.ɾju']",,,,,"No error"
"exceder","['ɐjʃ.sɨ.ˈdeɾ']",,,,,"No error"
"sobejar","['su.bɨ.ˈʒaɾ']",,,,,"No error"
"acarear",,"['ɐ.kɐ.ˈɾi.aɾ']","false diphthong",,,"Error"
"desagradar","['dɨ.zɐ.ɡɾɐ.ˈdaɾ']",,,,,"No error"
"funesto","['fu.ˈnɛʃ.tu']",,,,,"No error"
"displicência","['dɨʃ.pli.ˈsẽ.sjɐ']",,,,,"No error"
"inconstante","['ĩ.kõʃ.ˈtɐ̃.tɨ']",,,,,"No error"
"vegetar","['vɨ.ʒɨ.ˈtaɾ']",,,,,"No error"
"fétido","['ˈfɛ.ti.du']",,,,,"No error"
"úlcera","['ˈuɫ.sɨ.ɾɐ']",,,,,"No error"
"inchaço","['ĩ.ˈʃa.su']",,,,,"No error"
"doloroso","['du.lu.ˈɾo.zu']",,,,,"No error"
"apreciar",,"['ɐ.pɾɨ.ˈsi.aɾ']","false diphthong",,,"Error"
"renome","['Rɨ.ˈno.mɨ']",,,,,"No error"
"celebridade","['sɨ.lɨ.bɾi.ˈda.dɨ']",,,,,"No error"
"tumor","['tu.ˈmoɾ']",,,,,"No error"
"chaga","['ˈʃa.ɡɐ']",,,,,"No error"
"enumerar","['i.nu.mɨ.ˈɾaɾ']",,,,,"No error"
"variável",,"['vɐ.ˈɾi.a.vɛɫ']","false diphthong",,,"Error"
"desatenção","['dɨ.zɐ.tẽ.ˈsɐ̃w̃']",,,,,"No error"
"desprezo","['dɨʃ.ˈpɾe.zu']",,,,,"No error"
"inadvertência","['i.nɐd.vɨɾ.ˈtẽ.sjɐ']",,,,,"No error"
"desdém","['dɨʒ.ˈdɐ̃j̃']",,,,,"No error"
"assessoria","['ɐ.sɨ.su.ˈɾi.ɐ']",,,,,"No error"
"descontentamento","['dɨʃ.kõ.tẽ.tɐ.ˈmẽ.tu']",,,,,"No error"
"desagrado","['dɨ.zɐ.ˈɡɾa.du']",,,,,"No error"
"aborrecimento","['ɐ.bu.Rɨ.si.ˈmẽ.tu']",,,,,"No error"
"laço","['ˈla.su']",,,,,"No error"
"desmoralizado","['dɨʒ.mu.ɾɐ.li.ˈza.du']",,,,,"No error"
"perdido","['pɨɾ.ˈdi.du']",,,,,"No error"
"descontentar","['dɨʃ.kõ.tẽ.ˈtaɾ']",,,,,"No error"
"testemunha","['tɨʃ.tɨ.ˈmu.ɲɐ']",,,,,"No error"
"sobrar","['su.ˈbɾaɾ']",,,,,"No error"
"dispensável","['diʃ.pẽ.ˈsa.vɛɫ']",,,,,"No error"
"estojo","['iʃ.ˈto.ʒu']",,,,,"No error"
"costura","['kuʃ.ˈtu.ɾɐ']",,,,,"No error"
"asseio","['ɐ.ˈsɐj.u']",,,,,"No error"
"esquecimento","['iʃ.kɛ.si.ˈmẽ.tu']",,,,,"No error"
"ocupar","['ɔ.ku.ˈpaɾ']",,,,,"No error"
"assente","['ɐ.ˈsẽ.tɨ']",,,,,"No error"
"resignado","['Rɨ.zi.ˈɡna.du']",,,,,"No error"
"semelhança","['sɨ.mɨ.ˈʎɐ̃.sɐ']",,,,,"No error"
"uniforme","['u.ni.ˈfɔɾ.mɨ']",,,,,"No error"
"lesão","['lɨ.ˈzɐ̃w̃']",,,,,"No error"
"contundente","['kõ.tũ.ˈdẽ.tɨ']",,,,,"No error"
"equimose","['e.ki.ˈmɔ.zɨ']",,,,,"No error"
"arruinado","['ɐ.Rwi.ˈna.du']",,,,,"No error"
"consecutivo","['kõ.sɨ.ku.ˈti.vu']",,,,,"No error"
"posto","['ˈpoʃ.tu']",,,,,"No error"
"esmero","['iʒ.ˈme.ɾu']",,,,,"No error"
"apoiar","['ɐ.poj.ˈaɾ']",,,,,"No error"
"apoiado","['ɐ.poj.ˈa.du']",,,,,"No error"
"expensas","['ɐjʃ.ˈpẽ.sɐʃ']",,,,,"No error"
"escárnio","['iʃ.ˈkaɾ.nju']",,,,,"No error"
"desimpedir","['dɨ.zĩ.pɨ.ˈdiɾ']",,,,,"No error"
"desenredar","['dɨ.zẽ.Rɨ.ˈdaɾ']",,,,,"No error"
"aliviar",,"['ɐ.lɨ.ˈvi.aɾ']","false diphthong",,,"Error"
"abaixar","['ɐ.baj.ˈʃaɾ']",,,,,"No error"
"impelir","['ĩ.pɨ.ˈliɾ']",,,,,"No error"
"ousar","['ow.ˈzaɾ']",,,,,"No error"
"abalar","['ɐ.bɐ.ˈlaɾ']",,,,,"No error"
"fortificar","['fuɾ.ti.fi.ˈkaɾ']",,,,,"No error"
"engrandecer","['ẽ.ɡɾɐ̃.dɨ.ˈseɾ']",,,,,"No error"
"exaltar","['i.zaɫ.ˈtaɾ']",,,,,"No error"
"sublimar","['su.bli.ˈmaɾ']",,,,,"No error"
"purificar","['pu.ɾi.fi.ˈkaɾ']",,,,,"No error"
"santificar","['sɐ̃.ti.fi.ˈkaɾ']",,,,,"No error"
"canonizar","['kɐ.nu.ni.ˈzaɾ']",,,,,"No error"
"inscrever","['ĩʃ.kɾɨ.ˈveɾ']",,,,,"No error"
"alcateia","['aɫ.kɐ.ˈtɐj.ɐ']",,,,,"No error"
"abananar","['ɐ.bɐ.nɐ.ˈnaɾ']",,,,,"No error"
"apropriar",,"['ɐ.pɾu.ˈpɾi.aɾ']","false diphthong",,,"Error"
"protótipo","['pɾɔ.ˈtɔ.ti.pu']",,,,,"No error"
"abarcar","['ɐ.bɐɾ.ˈkaɾ']",,,,,"No error"
"abranger","['ɐ.bɾɐ̃.ˈʒeɾ']",,,,,"No error"
"comoção","['ku.mu.ˈsɐ̃w̃']",,,,,"No error"
"entrincheirar","['ẽ.tɾĩ.ʃɐj.ˈɾaɾ']",,,,,"No error"
"jazigo","['ʒɐ.ˈzi.ɡu']",,,,,"No error"
"abarrotar","['ɐ.bɐ.Ru.ˈtaɾ']",,,,,"No error"
"atestar","['ɐ.tɨʃ.ˈtaɾ']",,,,,"No error"
"afirmar","['ɐ.fiɾ.ˈmaɾ']",,,,,"No error"
"confirmar","['kõ.fiɾ.ˈmaɾ']",,,,,"No error"
"certificar","['sɨɾ.ti.fi.ˈkaɾ']",,,,,"No error"
"comprovar","['kõ.pɾu.ˈvaɾ']",,,,,"No error"
"abdicar","['ɐb.di.ˈkaɾ']",,,,,"No error"
"desistir","['dɨ.zɨʃ.ˈtiɾ']",,,,,"No error"
"rejeitar","['Rɨ.ʒɐj.ˈtaɾ']",,,,,"No error"
"repelir","['Rɨ.pɨ.ˈliɾ']",,,,,"No error"
"abjurar","['ɐb.ʒu.ˈɾaɾ']",,,,,"No error"
"resignar","['Rɨ.zi.ˈɡnaɾ']",,,,,"No error"
"abduzir","['ɐb.du.ˈziɾ']",,,,,"No error"
"regar","['Rɨ.ˈɡaɾ']",,,,,"No error"
"importunar","['ĩ.puɾ.tu.ˈnaɾ']",,,,,"No error"
"incomodar","['ĩ.ku.mu.ˈdaɾ']",,,,,"No error"
"molestar","['mu.lɨʃ.ˈtaɾ']",,,,,"No error"
"calafetar","['kɐ.lɐ.fɨ.ˈtaɾ']",,,,,"No error"
"cozer","['ku.ˈzeɾ']",,,,,"No error"
"corço","['ˈkoɾ.su']",,,,,"No error"
"concentrar","['kõ.sẽ.ˈtɾaɾ']",,,,,"No error"
"centralizar","['sẽ.tɾɐ.li.ˈzaɾ']",,,,,"No error"
"abjudicar","['ɐb.ʒu.di.ˈkaɾ']",,,,,"No error"
"desmamar","['dɨʒ.mɐ.ˈmaɾ']",,,,,"No error"
"abocanhar","['ɐ.bu.kɐ.ˈɲaɾ']",,,,,"No error"
"arredondar","['ɐ.Rɨ.dõ.ˈdaɾ']",,,,,"No error"
"aparvalhar","['ɐ.pɐɾ.vɐ.ˈʎaɾ']",,,,,"No error"
"atrapalhar","['ɐ.tɾɐ.pɐ.ˈʎaɾ']",,,,,"No error"
"abolir","['ɐ.bu.ˈliɾ']",,,,,"No error"
"abominar","['ɐ.bu.mi.ˈnaɾ']",,,,,"No error"
"detestar","['dɨ.tɨʃ.ˈtaɾ']",,,,,"No error"
"abonar","['ɐ.bu.ˈnaɾ']",,,,,"No error"
"abortar","['ɐ.buɾ.ˈtaɾ']",,,,,"No error"
"abotoar","['ɐ.bu.ˈtwaɾ']",,,,,"No error"
"abrasar","['ɐ.bɾɐ.ˈzaɾ']",,,,,"No error"
"renegar","['Rɨ.nɨ.ˈɡaɾ']",,,,,"No error"
"descrer","['dɨʃ.ˈkɾeɾ']",,,,,"No error"
"abreviar",,"['ɐ.bɾɨ.ˈvi.aɾ']","false diphthong",,,"Error"
"encurtar","['ẽ.kuɾ.ˈtaɾ']",,,,,"No error"
"abrilhantar","['ɐ.bɾi.ʎɐ̃.ˈtaɾ']",,,,,"No error"
"abrutar","['ɐ.bɾu.ˈtaɾ']",,,,,"No error"
"desobrigar","['dɨ.zɔ.bɾi.ˈɡaɾ']",,,,,"No error"
"recolher","['Rɨ.ku.ˈʎeɾ']",,,,,"No error"
"sorver","['suɾ.ˈveɾ']",,,,,"No error"
"devorar","['dɨ.vu.ˈɾaɾ']",,,,,"No error"
"disputa","['diʃ.ˈpu.tɐ']",,,,,"No error"
"querela","['kɨ.ˈɾɛ.lɐ']",,,,,"No error"
"faísca","['fɐ.ˈiʃ.kɐ']",,,,,"No error"
"chispa","['ˈʃiʃ.pɐ']",,,,,"No error"
"fagulha","['fɐ.ˈɡu.ʎɐ']",,,,,"No error"
"centelha","['sẽ.ˈtɐj.ʎɐ']",,,,,"No error"
"contrair","['kõ.tɾɐ.ˈiɾ']",,,,,"No error"
"estreitar","['iʃ.tɾɐj.ˈtaɾ']",,,,,"No error"
"acabrunhar","['ɐ.kɐ.bɾu.ˈɲaɾ']",,,,,"No error"
"oprimir","['ɔ.pɾi.ˈmiɾ']",,,,,"No error"
"escravizar","['iʃ.kɾɐ.vi.ˈzaɾ']",,,,,"No error"
"condimentar","['kõ.di.mẽ.ˈtaɾ']",,,,,"No error"
"temperar","['tẽ.pɨ.ˈɾaɾ']",,,,,"No error"
"estrumar","['iʃ.tɾu.ˈmaɾ']",,,,,"No error"
"açaimar","['ɐ.saj.ˈmaɾ']",,,,,"No error"
"reprimir","['Rɨ.pɾi.ˈmiɾ']",,,,,"No error"
"lacustre","['lɐ.ˈkuʃ.tɾɨ']",,,,,"No error"
"omoplata","['ɔ.mɔ.ˈpla.tɐ']",,,,,"No error"
"narrar","['nɐ.ˈRaɾ']",,,,,"No error"
"nanar","['nɐ.ˈnaɾ']",,,,,"No error"
"denegrir","['dɨ.nɨ.ˈɡɾiɾ']",,,,,"No error"
"democratizar","['dɨ.mu.kɾɐ.ti.ˈzaɾ']",,,,,"No error"
"conviver","['kõ.vi.ˈveɾ']",,,,,"No error"
"contundir","['kõ.tũ.ˈdiɾ']",,,,,"No error"
"conturbar","['kõ.tuɾ.ˈbaɾ']",,,,,"No error"
"braçal","['bɾɐ.ˈsaɫ']",,,,,"No error"
"desconsiderar","['dɨʃ.kõ.si.dɨ.ˈɾaɾ']",,,,,"No error"
"geminar","['ʒɨ.mi.ˈnaɾ']",,,,,"No error"
"generalizar","['ʒɨ.nɨ.ɾɐ.li.ˈzaɾ']",,,,,"No error"
"vulgarizar","['vuɫ.ɡɐ.ɾi.ˈzaɾ']",,,,,"No error"
"clamar","['klɐ.ˈmaɾ']",,,,,"No error"
"abundância","['ɐ.bũ.ˈdɐ̃.sjɐ']",,,,,"No error"
"protestar","['pɾu.tɨʃ.ˈtaɾ']",,,,,"No error"
"bradar","['bɾɐ.ˈdaɾ']",,,,,"No error"
"berrar","['bɨ.ˈRaɾ']",,,,,"No error"
"acalentar","['ɐ.kɐ.lẽ.ˈtaɾ']",,,,,"No error"
"aconchegar","['ɐ.kõ.ʃɨ.ˈɡaɾ']",,,,,"No error"
"embalar","['ẽ.bɐ.ˈlaɾ']",,,,,"No error"
"adormecer","['ɐ.duɾ.mɨ.ˈseɾ']",,,,,"No error"
"consolar","['kõ.su.ˈlaɾ']",,,,,"No error"
"confortar","['kõ.fuɾ.ˈtaɾ']",,,,,"No error"
"acalorar","['ɐ.kɐ.lu.ˈɾaɾ']",,,,,"No error"
"excitar","['ɐjʃ.si.ˈtaɾ']",,,,,"No error"
"acamar","['ɐ.kɐ.ˈmaɾ']",,,,,"No error"
"açambarcar","['ɐ.sɐ̃.bɐɾ.ˈkaɾ']",,,,,"No error"
"barbela","['bɐɾ.ˈbɛ.lɐ']",,,,,"No error"
"acumular","['ɐ.ku.mu.ˈlaɾ']",,,,,"No error"
"amontoar","['ɐ.mõ.ˈtwaɾ']",,,,,"No error"
"monopolizar","['mu.nu.pu.li.ˈzaɾ']",,,,,"No error"
"apor","['ɐ.ˈpoɾ']",,,,,"No error"
"emparelhar","['ẽ.pɐ.ɾɨ.ˈʎaɾ']",,,,,"No error"
"condizer","['kõ.di.ˈzeɾ']",,,,,"No error"
"clicável","['kli.ˈka.vɛɫ']",,,,,"No error"
"recorrente","['Rɨ.ku.ˈRẽ.tɨ']",,,,,"No error"
"táctil","['ˈtak.tiɫ']",,,,,"No error"
"combinar","['kõ.bi.ˈnaɾ']",,,,,"No error"
"costela","['kuʃ.ˈtɛ.lɐ']",,,,,"No error"
"apogeu","['ɐ.pu.ˈʒew']",,,,,"No error"
"sério","['ˈsɛ.ɾju']",,,,,"No error"
"instalar","['ĩʃ.tɐ.ˈlaɾ']",,,,,"No error"
"assentar","['ɐ.sẽ.ˈtaɾ']",,,,,"No error"
"acamurçar","['ɐ.kɐ.mur.ˈsar']",,,,,"No error"
"distribuir","['dɨʃ.tɾi.ˈbwiɾ']",,,,,"No error"
"repartir","['Rɨ.pɐɾ.ˈtiɾ']",,,,,"No error"
"aquartelar","['ɐ.kwɐɾ.tɨ.ˈlaɾ']",,,,,"No error"
"acarretar","['ɐ.kɐ.Rɨ.ˈtaɾ']",,,,,"No error"
"acasalar","['ɐ.kɐ.zɐ.ˈlaɾ']",,,,,"No error"
"acatar","['ɐ.kɐ.ˈtaɾ']",,,,,"No error"
"acautelar","['ɐ.kaw.tɨ.ˈlaɾ']",,,,,"No error"
"precaver","['pɾɨ.kɐ.ˈveɾ']",,,,,"No error"
"prevenir","['pɾɨ.vɨ.ˈniɾ']",,,,,"No error"
"incutir","['ĩ.ku.ˈtiɾ']",,,,,"No error"
"insinuar","['ĩ.si.ˈnwaɾ']",,,,,"No error"
"infundir","['ĩ.fũ.ˈdiɾ']",,,,,"No error"
"animar","['ɐ.ni.ˈmaɾ']",,,,,"No error"
"avivar","['ɐ.vi.ˈvaɾ']",,,,,"No error"
"realçar",,"['Ri.aɫ.ˈsaɾ']","false diphthong",,,"Error"
"salientar","['sɐ.ljẽ.ˈtaɾ']",,,,,"No error"
"relevar","['Rɨ.lɨ.ˈvaɾ']",,,,,"No error"
"sobressair","['so.bɾɨ.sɐ.ˈiɾ']",,,,,"No error"
"ressaltar","['Rɨ.saɫ.ˈtaɾ']",,,,,"No error"
"desculpar","['dɨʃ.kuɫ.ˈpaɾ']",,,,,"No error"
"justificar","['ʒuʃ.ti.fi.ˈkaɾ']",,,,,"No error"
"acenar","['ɐ.sɨ.ˈnaɾ']",,,,,"No error"
"acentuar","['ɐ.sẽ.ˈtwaɾ']",,,,,"No error"
"pronunciar",,"['pɾu.nũ.ˈsi.aɾ']","false diphthong",,,"Error"
"par","['ˈpaɾ']",,,,,"No error"
"aguçar","['ɐ.ɡu.ˈsaɾ']",,,,,"No error"
"afiar",,"['ɐ.ˈfi.aɾ']","false diphthong",,,"Error"
"acertar","['ɐ.sɨɾ.ˈtaɾ']",,,,,"No error"
"azedar","['ɐ.zɨ.ˈdaɾ']",,,,,"No error"
"acetinar","['ɐ.sɨ.ti.ˈnaɾ']",,,,,"No error"
"amaciar",,"['ɐ.mɐ.ˈsi.aɾ']","false diphthong",,,"Error"
"suavizar","['swɐ.vi.ˈzaɾ']",,,,,"No error"
"atenuar","['ɐ.tɨ.ˈnwaɾ']",,,,,"No error"
"adoecer","['ɐ.dwi.ˈseɾ']",,,,,"No error"
"variar",,"['vɐ.ˈɾi.aɾ']","false diphthong",,,"Error"
"acirrar","['ɐ.si.ˈRaɾ']",,,,,"No error"
"fruticultura","['fɾu.ti.kuɫ.ˈtu.ɾɐ']",,,,,"No error"
"açular","['ɐ.su.ˈlaɾ']",,,,,"No error"
"aclarar","['ɐ.klɐ.ˈɾaɾ']",,,,,"No error"
"esclarecer","['iʃ.klɐ.ɾɨ.ˈseɾ']",,,,,"No error"
"elucidar","['i.lu.si.ˈdaɾ']",,,,,"No error"
"ilustrar","['i.luʃ.ˈtɾaɾ']",,,,,"No error"
"enobrecer","['i.nu.bɾɨ.ˈseɾ']",,,,,"No error"
"aclimatar","['ɐ.kli.mɐ.ˈtaɾ']",,,,,"No error"
"acobardar","['ɐ.ku.bɐɾ.ˈdaɾ']",,,,,"No error"
"patologia","['pɐ.tu.lu.ˈʒi.ɐ']",,,,,"No error"
"escudo","['iʃ.ˈku.du']",,,,,"No error"
"aumento","['aw.ˈmẽ.tu']",,,,,"No error"
"gazua","['ɡɐ.ˈzu.ɐ']",,,,,"No error"
"buraco","['bu.ˈɾa.ku']",,,,,"No error"
"acoitar","['ɐ.koj.ˈtaɾ']",,,,,"No error"
"açoitar","['ɐ.soj.ˈtaɾ']",,,,,"No error"
"acolchetar","['ɐ.koɫ.ʃɨ.ˈtaɾ']",,,,,"No error"
"acolchoar","['ɐ.koɫ.ˈʃwaɾ']",,,,,"No error"
"almofadar","['aɫ.mu.fɐ.ˈdaɾ']",,,,,"No error"
"estofar","['iʃ.tu.ˈfaɾ']",,,,,"No error"
"acomodar","['ɐ.ku.mu.ˈdaɾ']",,,,,"No error"
"acondicionar","['ɐ.kõ.di.sju.ˈnaɾ']",,,,,"No error"
"assanhar","['ɐ.sɐ.ˈɲaɾ']",,,,,"No error"
"inflamar","['ĩ.flɐ.ˈmaɾ']",,,,,"No error"
"incendiar",,"['ĩ.sẽ.ˈdi.aɾ']","false diphthong",,,"Error"
"acorrentar","['ɐ.ku.Rẽ.ˈtaɾ']",,,,,"No error"
"encadear",,"['ẽ.kɐ.ˈdi.aɾ']","false diphthong",,,"Error"
